command_name,invocation,classification
tr,"tr -s "" """,supported
tr,"tr -d "" """,supported
tr,"tr -d "" \n""",supported
tr,"tr -cd "";0-9""",supported
tr,"tr -d ""[:digit:]""",supported
tr,"tr ""\t"" "" "" <""${2}""",supported
tr,"tr ""\t"" "" """,supported
tr,"tr -d "" ;""",supported
tr,"tr -d ""\r\n \t""",supported
tr,"tr -d ""\r""",supported
tr,"tr -d ""]""",supported
tr,"tr -d ""\""""",supported
tr,"tr -d ""\r\n""",supported
tr,"tr -d ""[:cntrl:]""",supported
tr,"tr -d "";""",supported
tr,"tr -cd ""[:digit:]""",supported
tr,tr A-F a-f,supported
tr,"tr -s ""\n""",supported
tr,"tr ""[A-Z]"" ""\n""",supported
tr,"tr ""[a-z][A-Z]"" ""\n""",supported
tr,"tr ""\n"" "",""",supported
tr,"tr ""\n"" "" """,supported
tr,"tr "" "" ""\t""",supported
tr,"tr ""/"" ""\t""",supported
tr,"tr "" "" ""_""",supported
tr,"tr ""_"" ""\t""",supported
tr,"tr ""\t"" "",""",supported
tr,"tr ""/"" "" """,supported
tr,"tr "" "" ""/""",supported
tr,"tr "":"" "" """,supported
tr,"tr "" "" "",""",supported
tr,"tr ""[:lower:]"" ""[:upper:]""",supported
tr,"tr -d ""[:blank:]""",supported
tr,"tr "")("" ""\n""",supported
tr,"tr ""a-z"" ""A-Z""",supported
tr,"tr ""[:upper:]"" ""[:lower:]""",supported
tr,"tr ""0-9"" ""a-j""",supported
tr,"tr -d "":""",supported
tr,"tr -d ""/""",supported
tr,"tr -d ""a-z""",supported
tr,"tr ""."" ""_""",supported
tr,"tr ""A-Z"" ""a-z""",supported
tr,"tr -d ""x""",supported
tr,"tr ""a-z"" ""0-9""",supported
tr,tr -d [:alnum:],supported
tr,"tr [:space:] ""\n""",supported
tr,"tr "":"" ""\n""",supported
tr,"tr ""*"" ""\n""",supported
tr,"tr ""/"" ""\n""",supported
tr,"tr ""/"" ""_""",supported
tr,"tr ""1-9"" ""a-i""",supported
tr,"tr ""a-j"" ""0-9""",supported
tr,"tr ""."" "" """,supported
tr,"tr "" "" "":""",supported
tr,"tr ""_"" "" """,supported
tr,"tr "":"" ""\t""",supported
tr,"tr "","" "" """,supported
tr,"tr ""*"" ""X""",supported
